Source,Target,Type,Weight
Chen Ruzhi,Zhu Zhi,undirected,1
Chen Ruzhi,Zhu Quan,undirected,1
Chen Ruzhi,Shen Can,undirected,1
Chen Ruzhi,Dai Jin,undirected,1
Chen Ruzhi,Xia Chang,undirected,1
Chen Ruzhi,Zhang Yi,undirected,1
Chen Ruzhi,Du Qiong,undirected,1
Chen Ruzhi,Ming Xuanzong,undirected,1
Théophane le Grec,Théophane le Grec,undirected,1
Théophane le Grec,Théophane le Grec,undirected,1
Théophane le Grec,Nikolaos Philanthropinos,undirected,1
Théophane le Grec,Nikolaos Philanthropinos,undirected,1
Théophane le Grec,Nikolaos Philanthropinos,undirected,1
Cecco di Pietro,Benci di Cione,undirected,1
Cecco di Pietro,Spinello Aretino,undirected,1
Cecco di Pietro,Lippo Dalmasio,undirected,1
Cecco di Pietro,Taddeo di Bartolo,undirected,1
Cecco di Pietro,Taddeo di Bartolo,undirected,1
Cecco di Pietro,Lorenzo Monaco,undirected,1
Cecco di Pietro,Masolino da Panicale,undirected,1
André Beauneveu,Melchior Broederlam,undirected,1
André Beauneveu,Melchior Broederlam,undirected,1
André Beauneveu,Hubert van Eyck,undirected,1
André Beauneveu,Robert Campin,undirected,1
André Beauneveu,Jean I de Stoevere,undirected,1
André Beauneveu,Jean I de Stoevere,undirected,1
André Beauneveu,Jan van Eyck,undirected,1
André Beauneveu,Jan van Eyck,undirected,1
André Beauneveu,Jan van Eyck,undirected,1
André Beauneveu,Jan van Eyck,undirected,1
André Beauneveu,Jean I de Stoevere,undirected,1
André Beauneveu,Jean I de Stoevere,undirected,1
Simone dei Crocifissi,Giovanni da Bologna,undirected,1
Simone dei Crocifissi,Lippo Dalmasio,undirected,1
Tang Su,Wang Lü,undirected,1
Tang Su,Čang Jü,undirected,1
Tang Su,Xu Ben,undirected,1
Tang Su,Yao Guang Xiao,undirected,1
Tang Su,Chen Shuqi,undirected,1
Tang Su,Zheng Shu,undirected,1
Tang Su,Sun Long,undirected,1
Tang Su,Chen Ruyan,undirected,1
Tang Su,Li Zai,undirected,1
Tang Su,Jin Xuan,undirected,1
Tang Su,Bian Jingzhao,undirected,1
Tang Su,Xie Jin,undirected,1
Tang Su,Shen Du,undirected,1
Tang Su,Chu Jen,undirected,1
Tang Su,Chu Jen,undirected,1
Tang Su,Chu Jen,undirected,1
Tang Su,Chu Jen,undirected,1
Tang Su,Hu Guan,undirected,1
Tang Su,Wang Fu,undirected,1
Tang Su,Yu Qian,undirected,1
Tang Su,Xie Huan,undirected,1
Tang Su,Guo Chun,undirected,1
Tang Su,Chen Ji,undirected,1
Tang Su,Zhu Bo,undirected,1
Tang Su,Zhu Zhi,undirected,1
Tang Su,Zhu Quan,undirected,1
Tang Su,Shen Can,undirected,1
